scheme,scheme_label,train_size,threshold,auroc,auprc,fpr_at_95_tpr,id_false_rejection_rate,ood_recall_at_threshold
image_statistics,Image statistics,50,1.839686340093612,0.8013333333333335,0.9761792866346207,0.8066666666666666,0.07333333333333333,0.4696969696969697
global_feature_knn,Global feature kNN,50,5.599696135520933,0.8948444444444444,0.9893519258987301,0.5333333333333333,0.02666666666666667,0.5860606060606061
mahalanobis_feature,Mahalanobis feature,50,112.62550277709953,0.9388929292929293,0.9941473225832489,0.4066666666666667,0.02,0.683030303030303
image_statistics,Image statistics,100,1.7876655042171474,0.8385898989898989,0.9820067451534954,0.7666666666666667,0.04,0.5951515151515151
global_feature_knn,Global feature kNN,100,5.108515357971191,0.9123030303030303,0.9912325527182035,0.52,0.02666666666666667,0.6272727272727273
mahalanobis_feature,Mahalanobis feature,100,86.53144836425781,0.9499838383838383,0.9952286799476545,0.3,0.02666666666666667,0.7684848484848484
image_statistics,Image statistics,250,1.6022806406021108,0.7955070707070708,0.9744821776918023,0.7733333333333333,0.06,0.3284848484848485
global_feature_knn,Global feature kNN,250,4.372046899795532,0.9234020202020202,0.9924324260730943,0.4866666666666667,0.05333333333333334,0.7563636363636363
mahalanobis_feature,Mahalanobis feature,250,58.98024158477783,0.9570545454545454,0.9959545680573925,0.2866666666666667,0.06,0.8539393939393939
image_statistics,Image statistics,500,1.7571207284927353,0.7664121212121212,0.9713132545677112,0.7266666666666667,0.02666666666666667,0.28484848484848485
global_feature_knn,Global feature kNN,500,3.930855858325958,0.9388929292929293,0.9941293426327331,0.38,0.05333333333333334,0.8133333333333334
mahalanobis_feature,Mahalanobis feature,500,43.25187759399413,0.969389898989899,0.9971504115608771,0.19333333333333333,0.04666666666666667,0.8981818181818182
image_statistics,Image statistics,700,1.7220234692096696,0.7681252525252524,0.9716962780149578,0.7466666666666667,0.02666666666666667,0.2993939393939394
global_feature_knn,Global feature kNN,700,3.9069143414497374,0.9458020202020203,0.9949310494716149,0.38,0.03333333333333333,0.8024242424242424
mahalanobis_feature,Mahalanobis feature,700,38.58238201141357,0.9724363636363637,0.9974611994053375,0.2,0.04666666666666667,0.9078787878787878
