scheme,scheme_label,metric,estimate,ci_low,ci_high,n_bootstrap,seed
mahalanobis_feature,Mahalanobis feature,auroc,0.9724363636363637,0.9638066064774223,0.980017446132801,500,42
mahalanobis_feature,Mahalanobis feature,auprc,0.9974611994053375,0.9966613181915868,0.99825624675672,500,42
mahalanobis_feature,Mahalanobis feature,fpr_at_95_tpr,0.2,0.10609788907284769,0.29014124832983396,500,42
mahalanobis_feature,Mahalanobis feature,id_false_rejection_rate,0.04666666666666667,0.01779486366518707,0.08163265306122448,500,42
mahalanobis_feature,Mahalanobis feature,ood_recall_at_threshold,0.9078787878787878,0.8948483587369297,0.9214461953209867,500,42
patchcore_l3,PatchCore L3,auroc,0.8819333333333335,0.8586799323458674,0.901330673221545,500,42
patchcore_l3,PatchCore L3,auprc,0.9880142869349209,0.9847289457638941,0.9908288420240855,500,42
patchcore_l3,PatchCore L3,fpr_at_95_tpr,0.6333333333333333,0.551948051948052,0.7110176375029009,500,42
patchcore_l3,PatchCore L3,id_false_rejection_rate,0.06666666666666667,0.027586206896551724,0.1099383337528316,500,42
patchcore_l3,PatchCore L3,ood_recall_at_threshold,0.7096969696969697,0.6888775681015413,0.7332951116475558,500,42
patchcore_l2_l3,PatchCore L2+L3,auroc,0.8721737373737374,0.852685901953966,0.8918906542107684,500,42
patchcore_l2_l3,PatchCore L2+L3,auprc,0.9874269752286322,0.9845182666029507,0.9903634630840882,500,42
patchcore_l2_l3,PatchCore L2+L3,fpr_at_95_tpr,0.6866666666666666,0.6046078821656051,0.756422697368421,500,42
patchcore_l2_l3,PatchCore L2+L3,id_false_rejection_rate,0.07333333333333333,0.03388457295210077,0.11786323051948047,500,42
patchcore_l2_l3,PatchCore L2+L3,ood_recall_at_threshold,0.6933333333333334,0.6711122598542807,0.7148186547589629,500,42
autoencoder,Autoencoder,auroc,0.7648848484848485,0.7415407456880806,0.7909488831633975,500,42
autoencoder,Autoencoder,auprc,0.9763007249116953,0.971697445096277,0.9817675245651102,500,42
autoencoder,Autoencoder,fpr_at_95_tpr,0.9466666666666667,0.8977678571428572,0.9800057780345793,500,42
autoencoder,Autoencoder,id_false_rejection_rate,0.02666666666666667,0.0,0.054874608150470204,500,42
autoencoder,Autoencoder,ood_recall_at_threshold,0.5587878787878788,0.5350422806497869,0.5794351120496807,500,42
global_feature_knn,Global feature kNN,auroc,0.9458020202020203,0.9328492445625165,0.9575251117992748,500,42
global_feature_knn,Global feature kNN,auprc,0.9949310494716149,0.9935019460736751,0.9964178331192584,500,42
global_feature_knn,Global feature kNN,fpr_at_95_tpr,0.38,0.25,0.5192772818888568,500,42
global_feature_knn,Global feature kNN,id_false_rejection_rate,0.03333333333333333,0.006993006993006993,0.06275740650801356,500,42
global_feature_knn,Global feature kNN,ood_recall_at_threshold,0.8024242424242424,0.7827426272761538,0.8206870942374865,500,42
image_statistics,Image statistics,auroc,0.7681252525252524,0.7305428070147051,0.8013264637246095,500,42
image_statistics,Image statistics,auprc,0.9716962780149578,0.9643175254828167,0.9786348916359274,500,42
image_statistics,Image statistics,fpr_at_95_tpr,0.7466666666666667,0.6656187624750499,0.8382352941176471,500,42
image_statistics,Image statistics,id_false_rejection_rate,0.02666666666666667,0.005614838200473562,0.05943953887662496,500,42
image_statistics,Image statistics,ood_recall_at_threshold,0.2993939393939394,0.2783005856050034,0.32091445212652053,500,42
