scheme,scheme_label,artifact_type,severity_label,severity_value,sample_index,score,deployment_threshold,research_threshold
image_statistics,Image statistics,text_watermark,opacity_0_10,0.1,8,1.1274889707565308,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_10,0.1,9,0.5764756798744202,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_10,0.1,10,0.9371085166931152,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_10,0.1,11,1.6722543239593506,1.7220234692096696,0.6057427525520325
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_25,0.25,0,21.753400802612305,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_25,0.25,1,24.108135223388672,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_25,0.25,2,18.996484756469727,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_25,0.25,3,24.735294342041016,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_25,0.25,4,31.43878173828125,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_25,0.25,5,28.593931198120117,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_25,0.25,6,24.57713508605957,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_25,0.25,7,26.68031883239746,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_25,0.25,8,32.76285934448242,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_25,0.25,9,26.64249610900879,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_25,0.25,10,22.828819274902344,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_25,0.25,11,18.59374237060547,38.58238201141357,32.05723571777344
patchcore_l3,PatchCore L3,text_watermark,opacity_0_25,0.25,0,24.860828399658203,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_25,0.25,1,28.970186233520508,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_25,0.25,2,26.996192932128906,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_25,0.25,3,33.30021286010742,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_25,0.25,4,30.93195152282715,34.763293457031246,26.80457305908203
