scheme,scheme_label,ood_subtype,analysis,auroc,auprc,fpr_at_95_tpr,id_count,ood_count
autoencoder,Autoencoder,arrow_annotation,removed_subtype,0.7413733333333333,0.970903542894658,0.9533333333333334,150,1500
autoencoder,Autoencoder,blur_artifact,only_subtype,0.11155555555555556,0.325318262221688,1.0,150,150
autoencoder,Autoencoder,blur_artifact,removed_subtype,0.8302177777777777,0.9816764099173196,0.8333333333333334,150,1500
autoencoder,Autoencoder,border_crop,only_subtype,0.4336,0.45495034307911275,0.96,150,150
autoencoder,Autoencoder,border_crop,removed_subtype,0.7980133333333334,0.9783671351742,0.94,150,1500
autoencoder,Autoencoder,cifar10_natural,only_subtype,0.9809333333333333,0.985359623519774,0.08666666666666667,150,150
autoencoder,Autoencoder,cifar10_natural,removed_subtype,0.7432799999999999,0.9712248049709724,0.9533333333333334,150,1500
autoencoder,Autoencoder,colour_fundus,only_subtype,1.0,1.0000000000000002,0.0,150,150
autoencoder,Autoencoder,colour_fundus,removed_subtype,0.7413733333333333,0.970903542894658,0.9533333333333334,150,1500
autoencoder,Autoencoder,composite_layout,only_subtype,0.9931555555555556,0.9826888744276053,0.013333333333333334,150,150
autoencoder,Autoencoder,composite_layout,removed_subtype,0.7420577777777778,0.971093765713317,0.9533333333333334,150,1500
autoencoder,Autoencoder,gaussian_noise,only_subtype,0.8739555555555556,0.8621720399041729,0.5066666666666667,150,150
autoencoder,Autoencoder,gaussian_noise,removed_subtype,0.7539777777777776,0.9729345685849158,0.9533333333333334,150,1500
autoencoder,Autoencoder,jpeg_compression,only_subtype,0.505688888888889,0.5137057370084033,0.96,150,150
autoencoder,Autoencoder,jpeg_compression,removed_subtype,0.7908044444444445,0.9775334745961133,0.94,150,1500
autoencoder,Autoencoder,oct_screenshot,only_subtype,0.9853777777777778,0.9778355563858399,0.02666666666666667,150,150
autoencoder,Autoencoder,oct_screenshot,removed_subtype,0.7428355555555556,0.971244042919664,0.9533333333333334,150,1500
autoencoder,Autoencoder,rectangle_annotation,only_subtype,1.0,1.0000000000000002,0.0,150,150
autoencoder,Autoencoder,rectangle_annotation,removed_subtype,0.7413733333333333,0.970903542894658,0.9533333333333334,150,1500
autoencoder,Autoencoder,text_watermark,only_subtype,0.5294666666666666,0.5292201814878171,0.9066666666666666,150,150
autoencoder,Autoencoder,text_watermark,removed_subtype,0.7884266666666666,0.9772831461710837,0.9533333333333334,150,1500
image_statistics,Image statistics,arrow_annotation,only_subtype,0.7120444444444445,0.6706971622971154,0.66,150,150
image_statistics,Image statistics,arrow_annotation,removed_subtype,0.7737333333333334,0.970188879399335,0.76,150,1500
image_statistics,Image statistics,blur_artifact,only_subtype,0.6532888888888888,0.6384747220554661,0.78,150,150
image_statistics,Image statistics,blur_artifact,removed_subtype,0.7796088888888889,0.9708799405022641,0.7466666666666667,150,1500
image_statistics,Image statistics,border_crop,only_subtype,0.6991111111111111,0.6348944035808446,0.6866666666666666,150,150
image_statistics,Image statistics,border_crop,removed_subtype,0.7750266666666668,0.9704653675914754,0.76,150,1500
image_statistics,Image statistics,cifar10_natural,only_subtype,0.9972444444444444,0.9970617824221468,0.013333333333333334,150,150
image_statistics,Image statistics,cifar10_natural,removed_subtype,0.7452133333333334,0.9615305935489692,0.76,150,1500
