scheme,artifact_type,severity_value,mean_score,median_score,deployment_reject_rate,research_reject_rate,n_images,severity_score_spearman,scheme_label
autoencoder,blur_artifact,3.0,0.00045394049448077567,0.0004274922393960878,0.0,0.8333333333333334,12,-0.750553421522014,Autoencoder
autoencoder,blur_artifact,5.0,0.00027042364005562075,0.0002520260095479898,0.0,0.75,12,-0.750553421522014,Autoencoder
autoencoder,blur_artifact,9.0,0.00010692345009980879,9.495881386101246e-05,0.0,0.25,12,-0.750553421522014,Autoencoder
autoencoder,blur_artifact,15.0,5.399370365921641e-05,4.5140948714106344e-05,0.0,0.0,12,-0.750553421522014,Autoencoder
autoencoder,border_crop,0.02,0.0007362377382378327,0.0007374509004876018,0.0,0.9166666666666666,12,-0.17216996049250502,Autoencoder
autoencoder,border_crop,0.05,0.0007597126326193878,0.0007550465525127947,0.0,0.9166666666666666,12,-0.17216996049250502,Autoencoder
autoencoder,border_crop,0.1,0.0007707043429642605,0.0007499190396629274,0.0,0.9166666666666666,12,-0.17216996049250502,Autoencoder
autoencoder,border_crop,0.2,0.0004932253820394786,0.00046241682139225304,0.0,0.8333333333333334,12,-0.17216996049250502,Autoencoder
autoencoder,gaussian_noise,5.0,0.0007493905650335364,0.0007372476393356919,0.0,0.9166666666666666,12,0.7128912426642786,Autoencoder
autoencoder,gaussian_noise,10.0,0.0008453261410371246,0.0008362146327272058,0.0,1.0,12,0.7128912426642786,Autoencoder
autoencoder,gaussian_noise,20.0,0.0011808794661192223,0.0011821967782452703,0.16666666666666666,1.0,12,0.7128912426642786,Autoencoder
autoencoder,gaussian_noise,40.0,0.0022644535929430276,0.002245042473077774,0.75,1.0,12,0.7128912426642786,Autoencoder
autoencoder,jpeg_compression,10.0,0.0007210375242721057,0.0007089416903909296,0.0,0.9166666666666666,12,0.016332200137231655,Autoencoder
autoencoder,jpeg_compression,30.0,0.0007237940796282297,0.0007110224978532642,0.0,0.9166666666666666,12,0.016332200137231655,Autoencoder
autoencoder,jpeg_compression,50.0,0.0007294334154721582,0.0007153257320169359,0.0,0.9166666666666666,12,0.016332200137231655,Autoencoder
autoencoder,jpeg_compression,70.0,0.0007377377435962748,0.0007261024147737771,0.0,0.9166666666666666,12,0.016332200137231655,Autoencoder
autoencoder,jpeg_compression,90.0,0.0007033877985425837,0.0006849363271612674,0.0,0.8333333333333334,12,0.016332200137231655,Autoencoder
autoencoder,rectangle_annotation,2.0,0.0019544271344784647,0.0018741352250799537,0.8333333333333334,1.0,12,0.9684560277703407,Autoencoder
autoencoder,rectangle_annotation,5.0,0.005579306200767557,0.005541227292269468,1.0,1.0,12,0.9684560277703407,Autoencoder
autoencoder,rectangle_annotation,9.0,0.01007082910897831,0.010015224106609821,1.0,1.0,12,0.9684560277703407,Autoencoder
autoencoder,rectangle_annotation,15.0,0.016596250236034393,0.016626369208097458,1.0,1.0,12,0.9684560277703407,Autoencoder
autoencoder,text_watermark,0.1,0.0007210943937631479,0.0007082794327288866,0.0,0.9166666666666666,12,0.08070466898086172,Autoencoder
autoencoder,text_watermark,0.25,0.0007216692805135002,0.000709043350070715,0.0,0.9166666666666666,12,0.08070466898086172,Autoencoder
autoencoder,text_watermark,0.5,0.0007238907831682203,0.000711964734364301,0.0,0.9166666666666666,12,0.08070466898086172,Autoencoder
autoencoder,text_watermark,0.75,0.0007276269528423048,0.0007167155272327363,0.0,0.9166666666666666,12,0.08070466898086172,Autoencoder
image_statistics,blur_artifact,3.0,0.9620310117801031,0.8587199151515961,0.08333333333333333,1.0,12,0.36989639949561626,Image statistics
image_statistics,blur_artifact,5.0,1.0572813600301743,0.9593700468540192,0.08333333333333333,1.0,12,0.36989639949561626,Image statistics
image_statistics,blur_artifact,9.0,1.2041081090768178,1.1005063652992249,0.08333333333333333,1.0,12,0.36989639949561626,Image statistics
image_statistics,blur_artifact,15.0,1.307147408525149,1.217736303806305,0.08333333333333333,1.0,12,0.36989639949561626,Image statistics
image_statistics,border_crop,0.02,1.2762020925680797,1.2239925861358643,0.08333333333333333,1.0,12,0.8204974679720942,Image statistics
image_statistics,border_crop,0.05,1.2997699777285259,1.2496399879455566,0.08333333333333333,1.0,12,0.8204974679720942,Image statistics
image_statistics,border_crop,0.1,1.490613321463267,1.4635848999023438,0.08333333333333333,1.0,12,0.8204974679720942,Image statistics
image_statistics,border_crop,0.2,2.5053497354189553,2.486258387565613,1.0,1.0,12,0.8204974679720942,Image statistics
image_statistics,gaussian_noise,5.0,0.8795466125011444,0.8189094960689545,0.0,0.8333333333333334,12,0.7249969430114078,Image statistics
image_statistics,gaussian_noise,10.0,0.8730259438355764,0.8305604755878448,0.0,0.8333333333333334,12,0.7249969430114078,Image statistics
image_statistics,gaussian_noise,20.0,1.046849971016248,1.0336329340934753,0.0,1.0,12,0.7249969430114078,Image statistics
image_statistics,gaussian_noise,40.0,2.2566745281219482,2.237883687019348,1.0,1.0,12,0.7249969430114078,Image statistics
image_statistics,jpeg_compression,10.0,0.8936587621768316,0.8316386044025421,0.0,0.8333333333333334,12,-0.002722033356205276,Image statistics
image_statistics,jpeg_compression,30.0,0.890975887576739,0.8223876953125,0.0,0.8333333333333334,12,-0.002722033356205276,Image statistics
image_statistics,jpeg_compression,50.0,0.8936956971883774,0.8371137976646423,0.0,0.8333333333333334,12,-0.002722033356205276,Image statistics
image_statistics,jpeg_compression,70.0,0.8882370442152023,0.8292846381664276,0.0,0.8333333333333334,12,-0.002722033356205276,Image statistics
image_statistics,jpeg_compression,90.0,1.0293308347463608,0.8267954289913177,0.08333333333333333,0.9166666666666666,12,-0.002722033356205276,Image statistics
image_statistics,rectangle_annotation,2.0,1.0215333302815754,0.8443823456764221,0.08333333333333333,0.8333333333333334,12,0.18562073865598197,Image statistics
image_statistics,rectangle_annotation,5.0,1.1549970209598541,0.994218111038208,0.16666666666666666,1.0,12,0.18562073865598197,Image statistics
image_statistics,rectangle_annotation,9.0,1.1604603081941605,0.9783726632595062,0.16666666666666666,1.0,12,0.18562073865598197,Image statistics
image_statistics,rectangle_annotation,15.0,1.1926720043023427,0.9907142519950867,0.16666666666666666,1.0,12,0.18562073865598197,Image statistics
image_statistics,text_watermark,0.1,0.8944621036450068,0.8313158750534058,0.0,0.8333333333333334,12,0.03093678977599699,Image statistics
image_statistics,text_watermark,0.25,0.8934079060951868,0.8313366770744324,0.0,0.8333333333333334,12,0.03093678977599699,Image statistics
image_statistics,text_watermark,0.5,0.8988185276587805,0.8316771686077118,0.08333333333333333,0.8333333333333334,12,0.03093678977599699,Image statistics
image_statistics,text_watermark,0.75,0.9280368040005366,0.831764280796051,0.08333333333333333,0.8333333333333334,12,0.03093678977599699,Image statistics
mahalanobis_feature,blur_artifact,3.0,34.49660873413086,34.93463134765625,0.08333333333333333,0.75,12,0.9644207943212975,Mahalanobis feature
mahalanobis_feature,blur_artifact,5.0,53.34891668955485,54.401268005371094,1.0,1.0,12,0.9644207943212975,Mahalanobis feature
mahalanobis_feature,blur_artifact,9.0,95.39809672037761,97.93695068359375,1.0,1.0,12,0.9644207943212975,Mahalanobis feature
mahalanobis_feature,blur_artifact,15.0,128.51981417338052,132.09827423095703,1.0,1.0,12,0.9644207943212975,Mahalanobis feature
mahalanobis_feature,border_crop,0.02,42.56125418345133,44.12710762023926,0.75,1.0,12,0.9684560277703407,Mahalanobis feature
mahalanobis_feature,border_crop,0.05,69.39579645792644,70.47400665283203,1.0,1.0,12,0.9684560277703407,Mahalanobis feature
mahalanobis_feature,border_crop,0.1,107.30524444580078,105.9068603515625,1.0,1.0,12,0.9684560277703407,Mahalanobis feature
mahalanobis_feature,border_crop,0.2,129.75188891092935,128.1738510131836,1.0,1.0,12,0.9684560277703407,Mahalanobis feature
mahalanobis_feature,gaussian_noise,5.0,28.400015195210774,27.719624519348145,0.0,0.16666666666666666,12,0.9267586154635622,Mahalanobis feature
mahalanobis_feature,gaussian_noise,10.0,33.418072859446205,32.890790939331055,0.08333333333333333,0.6666666666666666,12,0.9267586154635622,Mahalanobis feature
mahalanobis_feature,gaussian_noise,20.0,42.002214113871254,42.26259994506836,0.8333333333333334,1.0,12,0.9267586154635622,Mahalanobis feature
mahalanobis_feature,gaussian_noise,40.0,50.387577056884766,49.74344825744629,1.0,1.0,12,0.9267586154635622,Mahalanobis feature
mahalanobis_feature,jpeg_compression,10.0,25.059288183848064,24.751502990722656,0.0,0.08333333333333333,12,0.7233803644115521,Mahalanobis feature
mahalanobis_feature,jpeg_compression,30.0,25.424447695414226,25.378881454467773,0.0,0.08333333333333333,12,0.7233803644115521,Mahalanobis feature
mahalanobis_feature,jpeg_compression,50.0,28.75788180033366,28.71034526824951,0.0,0.16666666666666666,12,0.7233803644115521,Mahalanobis feature
