eval_set,scheme,scheme_label,run_name,ood_type,ood_subtype,auroc,auprc,fpr_at_95_tpr,id_count,ood_count
balanced_by_subtype,mahalanobis_feature,Mahalanobis feature,mahalanobis_feature,sensory_artifact,gaussian_noise,0.9817777777777777,0.9684632333060784,0.06666666666666667,150,150
balanced_by_subtype,mahalanobis_feature,Mahalanobis feature,mahalanobis_feature,sensory_artifact,jpeg_compression,0.9910222222222222,0.991242994788827,0.04666666666666667,150,150
balanced_by_subtype,mahalanobis_feature,Mahalanobis feature,mahalanobis_feature,semantic_outlier,cifar10_natural,1.0,1.0000000000000002,0.0,150,150
balanced_by_subtype,patchcore_l2,PatchCore L2,patchcore_layer2,modality_shift,colour_fundus,0.9936,0.993255467377947,0.04,150,150
balanced_by_subtype,patchcore_l2,PatchCore L2,patchcore_layer2,modality_shift,oct_screenshot,1.0,1.0,0.0,150,150
balanced_by_subtype,patchcore_l2,PatchCore L2,patchcore_layer2,sensory_artifact,text_watermark,0.9491777777777778,0.9485436103143411,0.22666666666666666,150,150
balanced_by_subtype,patchcore_l2,PatchCore L2,patchcore_layer2,sensory_artifact,rectangle_annotation,1.0,1.0000000000000002,0.0,150,150
balanced_by_subtype,patchcore_l2,PatchCore L2,patchcore_layer2,sensory_artifact,arrow_annotation,0.9999111111111111,0.9999122807017546,0.0,150,150
balanced_by_subtype,patchcore_l2,PatchCore L2,patchcore_layer2,sensory_artifact,composite_layout,1.0,1.0000000000000002,0.0,150,150
balanced_by_subtype,patchcore_l2,PatchCore L2,patchcore_layer2,sensory_artifact,blur_artifact,0.49266666666666664,0.48131577428047273,0.9066666666666666,150,150
balanced_by_subtype,patchcore_l2,PatchCore L2,patchcore_layer2,sensory_artifact,border_crop,0.7491555555555556,0.7766329459417964,0.78,150,150
balanced_by_subtype,patchcore_l2,PatchCore L2,patchcore_layer2,sensory_artifact,gaussian_noise,0.4256444444444445,0.4481430105120431,0.9466666666666667,150,150
balanced_by_subtype,patchcore_l2,PatchCore L2,patchcore_layer2,sensory_artifact,jpeg_compression,0.5585333333333333,0.5206599375100067,0.8533333333333334,150,150
balanced_by_subtype,patchcore_l2,PatchCore L2,patchcore_layer2,semantic_outlier,cifar10_natural,0.9391555555555555,0.9201251460138142,0.2,150,150
balanced_by_subtype,patchcore_l3,PatchCore L3,patchcore_layer3,modality_shift,colour_fundus,0.9695555555555555,0.9336088857592543,0.06666666666666667,150,150
balanced_by_subtype,patchcore_l3,PatchCore L3,patchcore_layer3,modality_shift,oct_screenshot,0.9948,0.9935499200725619,0.013333333333333334,150,150
balanced_by_subtype,patchcore_l3,PatchCore L3,patchcore_layer3,sensory_artifact,text_watermark,0.9571777777777778,0.9467487372308432,0.2,150,150
balanced_by_subtype,patchcore_l3,PatchCore L3,patchcore_layer3,sensory_artifact,rectangle_annotation,0.9929333333333333,0.9910144397913629,0.02,150,150
balanced_by_subtype,patchcore_l3,PatchCore L3,patchcore_layer3,sensory_artifact,arrow_annotation,0.9983555555555557,0.9982874393613443,0.013333333333333334,150,150
balanced_by_subtype,patchcore_l3,PatchCore L3,patchcore_layer3,sensory_artifact,composite_layout,0.9930666666666667,0.9903636976443859,0.013333333333333334,150,150
balanced_by_subtype,patchcore_l3,PatchCore L3,patchcore_layer3,sensory_artifact,blur_artifact,0.5776444444444444,0.5519147287832522,0.9,150,150
balanced_by_subtype,patchcore_l3,PatchCore L3,patchcore_layer3,sensory_artifact,border_crop,0.8779111111111112,0.8682272072736572,0.44666666666666666,150,150
balanced_by_subtype,patchcore_l3,PatchCore L3,patchcore_layer3,sensory_artifact,gaussian_noise,0.7501333333333333,0.749046849386708,0.74,150,150
balanced_by_subtype,patchcore_l3,PatchCore L3,patchcore_layer3,sensory_artifact,jpeg_compression,0.5979111111111112,0.5539325269244321,0.82,150,150
balanced_by_subtype,patchcore_l3,PatchCore L3,patchcore_layer3,semantic_outlier,cifar10_natural,0.9917777777777778,0.9902814562249431,0.04,150,150
balanced_by_subtype,patchcore_l4,PatchCore L4,patchcore_layer4,modality_shift,colour_fundus,0.8424444444444444,0.801613689681921,0.52,150,150
balanced_by_subtype,patchcore_l4,PatchCore L4,patchcore_layer4,modality_shift,oct_screenshot,0.9457333333333333,0.8987384981905281,0.15333333333333332,150,150
balanced_by_subtype,patchcore_l4,PatchCore L4,patchcore_layer4,sensory_artifact,text_watermark,0.6405777777777778,0.6238531306441476,0.8933333333333333,150,150
balanced_by_subtype,patchcore_l4,PatchCore L4,patchcore_layer4,sensory_artifact,rectangle_annotation,0.9764888888888889,0.9416169291600395,0.05333333333333334,150,150
balanced_by_subtype,patchcore_l4,PatchCore L4,patchcore_layer4,sensory_artifact,arrow_annotation,0.9852888888888889,0.9741246579988018,0.03333333333333333,150,150
balanced_by_subtype,patchcore_l4,PatchCore L4,patchcore_layer4,sensory_artifact,composite_layout,0.4401777777777778,0.4410416784943005,0.94,150,150
balanced_by_subtype,patchcore_l4,PatchCore L4,patchcore_layer4,sensory_artifact,blur_artifact,0.5908888888888889,0.5801972729066251,0.8933333333333333,150,150
balanced_by_subtype,patchcore_l4,PatchCore L4,patchcore_layer4,sensory_artifact,border_crop,0.7415555555555556,0.7076346243863729,0.6266666666666667,150,150
balanced_by_subtype,patchcore_l4,PatchCore L4,patchcore_layer4,sensory_artifact,gaussian_noise,0.5817777777777777,0.5813160407599138,0.9133333333333333,150,150
balanced_by_subtype,patchcore_l4,PatchCore L4,patchcore_layer4,sensory_artifact,jpeg_compression,0.5458666666666667,0.5422127916935604,0.8933333333333333,150,150
balanced_by_subtype,patchcore_l4,PatchCore L4,patchcore_layer4,semantic_outlier,cifar10_natural,0.9614222222222222,0.9361149984800041,0.12,150,150
balanced_by_subtype,patchcore_l2_l3,PatchCore L2+L3,patchcore_layer2_layer3,modality_shift,colour_fundus,0.9837333333333333,0.972526679467023,0.07333333333333333,150,150
balanced_by_subtype,patchcore_l2_l3,PatchCore L2+L3,patchcore_layer2_layer3,modality_shift,oct_screenshot,1.0,1.0000000000000002,0.0,150,150
balanced_by_subtype,patchcore_l2_l3,PatchCore L2+L3,patchcore_layer2_layer3,sensory_artifact,text_watermark,0.9593777777777778,0.9517018561599362,0.14,150,150
balanced_by_subtype,patchcore_l2_l3,PatchCore L2+L3,patchcore_layer2_layer3,sensory_artifact,rectangle_annotation,0.9998666666666666,0.999866662715874,0.0,150,150
balanced_by_subtype,patchcore_l2_l3,PatchCore L2+L3,patchcore_layer2_layer3,sensory_artifact,arrow_annotation,0.9994222222222222,0.9994062928258649,0.006666666666666667,150,150
balanced_by_subtype,patchcore_l2_l3,PatchCore L2+L3,patchcore_layer2_layer3,sensory_artifact,composite_layout,1.0,1.0000000000000002,0.0,150,150
