unknown_threshold,coverage,known_accuracy,overall_accuracy_with_unknown_as_incorrect,unknown_rate
0.0,1.0,0.9,0.9,0.0
0.05,1.0,0.9,0.9,0.0
0.1,1.0,0.9,0.9,0.0
0.15000000000000002,1.0,0.9,0.9,0.0
0.2,1.0,0.9,0.9,0.0
0.25,1.0,0.9,0.9,0.0
0.30000000000000004,1.0,0.9,0.9,0.0
0.35000000000000003,1.0,0.9,0.9,0.0
0.4,0.9880952380952381,0.908433734939759,0.8976190476190476,0.011904761904761862
0.45,0.9761904761904762,0.9121951219512195,0.8904761904761904,0.023809523809523836
0.5,0.9642857142857143,0.9135802469135802,0.8809523809523809,0.0357142857142857
0.55,0.9023809523809524,0.9445910290237467,0.8523809523809524,0.0976190476190476
0.6000000000000001,0.8642857142857143,0.9614325068870524,0.830952380952381,0.13571428571428568
0.65,0.830952380952381,0.9742120343839542,0.8095238095238095,0.169047619047619
0.7000000000000001,0.7904761904761904,0.9819277108433735,0.7761904761904762,0.20952380952380956
0.75,0.7333333333333333,0.987012987012987,0.7238095238095238,0.2666666666666667
0.8,0.6571428571428571,0.9891304347826086,0.65,0.34285714285714286
0.8500000000000001,0.580952380952381,0.9918032786885246,0.5761904761904761,0.419047619047619
0.9,0.49523809523809526,1.0,0.49523809523809526,0.5047619047619047
0.9500000000000001,0.33095238095238094,1.0,0.33095238095238094,0.6690476190476191
1.0,0.0,,0.0,1.0
