method,split,subtype,precision,recall,f1,support
logistic_regression,val,text_watermark,0.12121212121212122,0.13333333333333333,0.126984126984127,30
logistic_regression,val,rectangle_annotation,0.32142857142857145,0.3,0.3103448275862069,30
logistic_regression,val,arrow_annotation,0.3333333333333333,0.13333333333333333,0.19047619047619044,30
logistic_regression,val,composite_layout,1.0,1.0,1.0,30
logistic_regression,val,blur_artifact,0.10810810810810811,0.13333333333333333,0.11940298507462686,30
logistic_regression,val,border_crop,1.0,1.0,1.0,30
logistic_regression,val,gaussian_noise,0.717948717948718,0.9333333333333333,0.8115942028985509,30
logistic_regression,val,jpeg_compression,0.10810810810810811,0.13333333333333333,0.11940298507462686,30
logistic_regression,val,cifar10_natural,1.0,0.94,0.9690721649484536,100
logistic_regression,test,colour_fundus,1.0,1.0,1.0,40
logistic_regression,test,oct_screenshot,0.975609756097561,1.0,0.9876543209876543,40
logistic_regression,test,text_watermark,0.08108108108108109,0.1,0.08955223880597014,30
logistic_regression,test,rectangle_annotation,0.7142857142857143,0.3333333333333333,0.4545454545454545,30
logistic_regression,test,arrow_annotation,0.6666666666666666,0.26666666666666666,0.3809523809523809,30
logistic_regression,test,composite_layout,1.0,1.0,1.0,30
logistic_regression,test,blur_artifact,0.09803921568627451,0.16666666666666666,0.12345679012345677,30
logistic_regression,test,border_crop,1.0,1.0,1.0,30
logistic_regression,test,gaussian_noise,0.7142857142857143,1.0,0.8333333333333333,30
logistic_regression,test,jpeg_compression,0.1,0.1,0.10000000000000002,30
logistic_regression,test,cifar10_natural,1.0,0.93,0.9637305699481865,100
linear_svm,val,colour_fundus,0.975609756097561,1.0,0.9876543209876543,40
linear_svm,val,oct_screenshot,1.0,1.0,1.0,40
linear_svm,val,text_watermark,0.13636363636363635,0.2,0.16216216216216214,30
linear_svm,val,rectangle_annotation,0.42857142857142855,0.3,0.3529411764705882,30
linear_svm,val,arrow_annotation,0.0,0.0,0.0,30
linear_svm,val,composite_layout,1.0,1.0,1.0,30
linear_svm,val,blur_artifact,0.075,0.1,0.08571428571428572,30
linear_svm,val,border_crop,0.9666666666666667,0.9666666666666667,0.9666666666666667,30
linear_svm,val,gaussian_noise,0.45454545454545453,0.6666666666666666,0.5405405405405405,30
linear_svm,val,jpeg_compression,0.0,0.0,0.0,30
linear_svm,val,cifar10_natural,0.989247311827957,0.92,0.9533678756476685,100
linear_svm,test,colour_fundus,1.0,1.0,1.0,40
linear_svm,test,oct_screenshot,0.975609756097561,1.0,0.9876543209876543,40
linear_svm,test,text_watermark,0.06976744186046512,0.1,0.08219178082191782,30
linear_svm,test,rectangle_annotation,0.5833333333333334,0.23333333333333334,0.33333333333333337,30
linear_svm,test,arrow_annotation,0.6923076923076923,0.3,0.41860465116279066,30
linear_svm,test,composite_layout,1.0,1.0,1.0,30
linear_svm,test,blur_artifact,0.05555555555555555,0.1,0.07142857142857142,30
linear_svm,test,border_crop,0.9666666666666667,0.9666666666666667,0.9666666666666667,30
linear_svm,test,gaussian_noise,0.6333333333333333,0.6333333333333333,0.6333333333333333,30
linear_svm,test,jpeg_compression,0.030303030303030304,0.03333333333333333,0.03174603174603175,30
linear_svm,test,cifar10_natural,0.9893617021276596,0.93,0.9587628865979382,100
random_forest_or_gradient_boosting,val,colour_fundus,1.0,1.0,1.0,40
random_forest_or_gradient_boosting,val,oct_screenshot,1.0,0.975,0.9873417721518987,40
random_forest_or_gradient_boosting,val,text_watermark,0.03571428571428571,0.06666666666666667,0.046511627906976744,30
random_forest_or_gradient_boosting,val,rectangle_annotation,0.1875,0.1,0.13043478260869568,30
random_forest_or_gradient_boosting,val,arrow_annotation,0.045454545454545456,0.03333333333333333,0.03846153846153846,30
random_forest_or_gradient_boosting,val,composite_layout,1.0,1.0,1.0,30
random_forest_or_gradient_boosting,val,blur_artifact,0.0,0.0,0.0,30
random_forest_or_gradient_boosting,val,border_crop,1.0,1.0,1.0,30
random_forest_or_gradient_boosting,val,gaussian_noise,0.967741935483871,1.0,0.9836065573770492,30
random_forest_or_gradient_boosting,val,jpeg_compression,1.0,1.0,1.0,30
random_forest_or_gradient_boosting,val,cifar10_natural,0.99,0.99,0.99,100
random_forest_or_gradient_boosting,test,colour_fundus,1.0,1.0,1.0,40
random_forest_or_gradient_boosting,test,oct_screenshot,0.9523809523809523,1.0,0.975609756097561,40
random_forest_or_gradient_boosting,test,text_watermark,0.0,0.0,0.0,30
