unknown_threshold,coverage,known_accuracy,overall_accuracy_with_unknown_as_incorrect,unknown_rate,method,split
0.0,1.0,0.9642857142857143,0.9642857142857143,0.0,image_statistics_logreg,val
0.05,1.0,0.9642857142857143,0.9642857142857143,0.0,image_statistics_logreg,val
0.1,1.0,0.9642857142857143,0.9642857142857143,0.0,image_statistics_logreg,val
0.15000000000000002,1.0,0.9642857142857143,0.9642857142857143,0.0,image_statistics_logreg,val
0.2,1.0,0.9642857142857143,0.9642857142857143,0.0,image_statistics_logreg,val
0.25,1.0,0.9642857142857143,0.9642857142857143,0.0,image_statistics_logreg,val
0.30000000000000004,1.0,0.9642857142857143,0.9642857142857143,0.0,image_statistics_logreg,val
0.35000000000000003,1.0,0.9642857142857143,0.9642857142857143,0.0,image_statistics_logreg,val
0.4,1.0,0.9642857142857143,0.9642857142857143,0.0,image_statistics_logreg,val
0.45,1.0,0.9642857142857143,0.9642857142857143,0.0,image_statistics_logreg,val
0.5,0.9976190476190476,0.9665871121718377,0.9642857142857143,0.0023809523809523725,image_statistics_logreg,val
0.55,0.9809523809523809,0.970873786407767,0.9523809523809523,0.01904761904761909,image_statistics_logreg,val
0.6000000000000001,0.9714285714285714,0.9754901960784313,0.9476190476190476,0.02857142857142858,image_statistics_logreg,val
0.65,0.95,0.9849624060150376,0.9357142857142857,0.050000000000000044,image_statistics_logreg,val
0.7000000000000001,0.9452380952380952,0.9848866498740554,0.930952380952381,0.05476190476190479,image_statistics_logreg,val
0.75,0.919047619047619,0.9844559585492227,0.9047619047619048,0.080952380952381,image_statistics_logreg,val
0.8,0.8976190476190476,0.986737400530504,0.8857142857142857,0.10238095238095235,image_statistics_logreg,val
0.8500000000000001,0.8785714285714286,0.989159891598916,0.8690476190476191,0.12142857142857144,image_statistics_logreg,val
0.9,0.830952380952381,0.9885386819484241,0.8214285714285714,0.169047619047619,image_statistics_logreg,val
0.9500000000000001,0.7619047619047619,0.996875,0.7595238095238095,0.23809523809523814,image_statistics_logreg,val
1.0,0.0,,0.0,1.0,image_statistics_logreg,val
0.0,1.0,0.9476190476190476,0.9476190476190476,0.0,image_statistics_logreg,test
0.05,1.0,0.9476190476190476,0.9476190476190476,0.0,image_statistics_logreg,test
0.1,1.0,0.9476190476190476,0.9476190476190476,0.0,image_statistics_logreg,test
0.15000000000000002,1.0,0.9476190476190476,0.9476190476190476,0.0,image_statistics_logreg,test
0.2,1.0,0.9476190476190476,0.9476190476190476,0.0,image_statistics_logreg,test
0.25,1.0,0.9476190476190476,0.9476190476190476,0.0,image_statistics_logreg,test
0.30000000000000004,1.0,0.9476190476190476,0.9476190476190476,0.0,image_statistics_logreg,test
0.35000000000000003,1.0,0.9476190476190476,0.9476190476190476,0.0,image_statistics_logreg,test
0.4,1.0,0.9476190476190476,0.9476190476190476,0.0,image_statistics_logreg,test
0.45,1.0,0.9476190476190476,0.9476190476190476,0.0,image_statistics_logreg,test
0.5,1.0,0.9476190476190476,0.9476190476190476,0.0,image_statistics_logreg,test
0.55,0.9880952380952381,0.9518072289156626,0.9404761904761905,0.011904761904761862,image_statistics_logreg,test
0.6000000000000001,0.9642857142857143,0.9604938271604938,0.9261904761904762,0.0357142857142857,image_statistics_logreg,test
0.65,0.95,0.9649122807017544,0.9166666666666666,0.050000000000000044,image_statistics_logreg,test
0.7000000000000001,0.9333333333333333,0.9744897959183674,0.9095238095238095,0.06666666666666665,image_statistics_logreg,test
0.75,0.8857142857142857,0.9838709677419355,0.8714285714285714,0.11428571428571432,image_statistics_logreg,test
0.8,0.861904761904762,0.9834254143646409,0.8476190476190476,0.13809523809523805,image_statistics_logreg,test
0.8500000000000001,0.8285714285714286,0.9885057471264368,0.819047619047619,0.17142857142857137,image_statistics_logreg,test
0.9,0.7857142857142857,0.9878787878787879,0.7761904761904762,0.2142857142857143,image_statistics_logreg,test
0.9500000000000001,0.7380952380952381,0.9935483870967742,0.7333333333333333,0.26190476190476186,image_statistics_logreg,test
1.0,0.0,,0.0,1.0,image_statistics_logreg,test
0.0,1.0,0.9714285714285714,0.9714285714285714,0.0,global_feature_knn,val
0.05,1.0,0.9714285714285714,0.9714285714285714,0.0,global_feature_knn,val
0.1,1.0,0.9714285714285714,0.9714285714285714,0.0,global_feature_knn,val
0.15000000000000002,1.0,0.9714285714285714,0.9714285714285714,0.0,global_feature_knn,val
0.2,1.0,0.9714285714285714,0.9714285714285714,0.0,global_feature_knn,val
0.25,1.0,0.9714285714285714,0.9714285714285714,0.0,global_feature_knn,val
0.30000000000000004,1.0,0.9714285714285714,0.9714285714285714,0.0,global_feature_knn,val
0.35000000000000003,1.0,0.9714285714285714,0.9714285714285714,0.0,global_feature_knn,val
0.4,1.0,0.9714285714285714,0.9714285714285714,0.0,global_feature_knn,val
0.45,1.0,0.9714285714285714,0.9714285714285714,0.0,global_feature_knn,val
0.5,1.0,0.9714285714285714,0.9714285714285714,0.0,global_feature_knn,val
0.55,1.0,0.9714285714285714,0.9714285714285714,0.0,global_feature_knn,val
0.6000000000000001,0.9904761904761905,0.9759615384615384,0.9666666666666667,0.00952380952380949,global_feature_knn,val
0.65,0.9904761904761905,0.9759615384615384,0.9666666666666667,0.00952380952380949,global_feature_knn,val
0.7000000000000001,0.9904761904761905,0.9759615384615384,0.9666666666666667,0.00952380952380949,global_feature_knn,val
0.75,0.9904761904761905,0.9759615384615384,0.9666666666666667,0.00952380952380949,global_feature_knn,val
0.8,0.9904761904761905,0.9759615384615384,0.9666666666666667,0.00952380952380949,global_feature_knn,val
0.8500000000000001,0.9666666666666667,0.9901477832512315,0.9571428571428572,0.033333333333333326,global_feature_knn,val
0.9,0.9666666666666667,0.9901477832512315,0.9571428571428572,0.033333333333333326,global_feature_knn,val
0.9500000000000001,0.9666666666666667,0.9901477832512315,0.9571428571428572,0.033333333333333326,global_feature_knn,val
1.0,0.9666666666666667,0.9901477832512315,0.9571428571428572,0.033333333333333326,global_feature_knn,val
0.0,1.0,0.9761904761904762,0.9761904761904762,0.0,global_feature_knn,test
0.05,1.0,0.9761904761904762,0.9761904761904762,0.0,global_feature_knn,test
0.1,1.0,0.9761904761904762,0.9761904761904762,0.0,global_feature_knn,test
0.15000000000000002,1.0,0.9761904761904762,0.9761904761904762,0.0,global_feature_knn,test
0.2,1.0,0.9761904761904762,0.9761904761904762,0.0,global_feature_knn,test
0.25,1.0,0.9761904761904762,0.9761904761904762,0.0,global_feature_knn,test
0.30000000000000004,1.0,0.9761904761904762,0.9761904761904762,0.0,global_feature_knn,test
0.35000000000000003,1.0,0.9761904761904762,0.9761904761904762,0.0,global_feature_knn,test
0.4,1.0,0.9761904761904762,0.9761904761904762,0.0,global_feature_knn,test
0.45,1.0,0.9761904761904762,0.9761904761904762,0.0,global_feature_knn,test
0.5,1.0,0.9761904761904762,0.9761904761904762,0.0,global_feature_knn,test
0.55,1.0,0.9761904761904762,0.9761904761904762,0.0,global_feature_knn,test
0.6000000000000001,0.9904761904761905,0.9831730769230769,0.9738095238095238,0.00952380952380949,global_feature_knn,test
0.65,0.9904761904761905,0.9831730769230769,0.9738095238095238,0.00952380952380949,global_feature_knn,test
0.7000000000000001,0.9904761904761905,0.9831730769230769,0.9738095238095238,0.00952380952380949,global_feature_knn,test
0.75,0.9904761904761905,0.9831730769230769,0.9738095238095238,0.00952380952380949,global_feature_knn,test
0.8,0.9904761904761905,0.9831730769230769,0.9738095238095238,0.00952380952380949,global_feature_knn,test
0.8500000000000001,0.9595238095238096,0.9925558312655087,0.9523809523809523,0.04047619047619044,global_feature_knn,test
0.9,0.9595238095238096,0.9925558312655087,0.9523809523809523,0.04047619047619044,global_feature_knn,test
0.9500000000000001,0.9595238095238096,0.9925558312655087,0.9523809523809523,0.04047619047619044,global_feature_knn,test
1.0,0.9595238095238096,0.9925558312655087,0.9523809523809523,0.04047619047619044,global_feature_knn,test
0.0,1.0,0.819047619047619,0.819047619047619,0.0,nearest_centroid,val
0.05,1.0,0.819047619047619,0.819047619047619,0.0,nearest_centroid,val
0.1,1.0,0.819047619047619,0.819047619047619,0.0,nearest_centroid,val
0.15000000000000002,1.0,0.819047619047619,0.819047619047619,0.0,nearest_centroid,val
0.2,1.0,0.819047619047619,0.819047619047619,0.0,nearest_centroid,val
0.25,1.0,0.819047619047619,0.819047619047619,0.0,nearest_centroid,val
0.30000000000000004,1.0,0.819047619047619,0.819047619047619,0.0,nearest_centroid,val
0.35000000000000003,1.0,0.819047619047619,0.819047619047619,0.0,nearest_centroid,val
