category_level,category,experiment,model,backbone,layers,ood_type,ood_subtype,auroc,auprc,fpr_at_95_tpr,id_count,ood_count,metrics_file
ood_subtype,jpeg_compression,patchcore_layer2_layer3,patchcore,resnet50,layer2+layer3,sensory_artifact,jpeg_compression,0.5755555555555556,0.5411425653022996,0.8666666666666667,150,150,runs/patchcore_layer2_layer3/evaluation/metrics.json
ood_subtype,oct_screenshot,patchcore_layer2_layer3,patchcore,resnet50,layer2+layer3,modality_shift,oct_screenshot,1.0,1.0000000000000002,0.0,150,150,runs/patchcore_layer2_layer3/evaluation/metrics.json
ood_subtype,rectangle_annotation,patchcore_layer2_layer3,patchcore,resnet50,layer2+layer3,sensory_artifact,rectangle_annotation,0.9998666666666666,0.999866662715874,0.0,150,150,runs/patchcore_layer2_layer3/evaluation/metrics.json
ood_subtype,text_watermark,patchcore_layer2_layer3,patchcore,resnet50,layer2+layer3,sensory_artifact,text_watermark,0.9593777777777778,0.9517018561599362,0.14,150,150,runs/patchcore_layer2_layer3/evaluation/metrics.json
ood_subtype,arrow_annotation,autoencoder_baseline,conv_autoencoder,,,sensory_artifact,arrow_annotation,1.0,1.0000000000000002,0.0,150,150,runs/autoencoder_baseline/evaluation/metrics.json
ood_subtype,blur_artifact,autoencoder_baseline,conv_autoencoder,,,sensory_artifact,blur_artifact,0.1115555555555555,0.325318262221688,1.0,150,150,runs/autoencoder_baseline/evaluation/metrics.json
ood_subtype,border_crop,autoencoder_baseline,conv_autoencoder,,,sensory_artifact,border_crop,0.4336,0.4549503430791127,0.96,150,150,runs/autoencoder_baseline/evaluation/metrics.json
ood_subtype,cifar10_natural,autoencoder_baseline,conv_autoencoder,,,semantic_outlier,cifar10_natural,0.9809333333333332,0.985359623519774,0.0866666666666666,150,150,runs/autoencoder_baseline/evaluation/metrics.json
ood_subtype,colour_fundus,autoencoder_baseline,conv_autoencoder,,,modality_shift,colour_fundus,1.0,1.0000000000000002,0.0,150,150,runs/autoencoder_baseline/evaluation/metrics.json
ood_subtype,composite_layout,autoencoder_baseline,conv_autoencoder,,,sensory_artifact,composite_layout,0.9931555555555556,0.9826888744276052,0.0133333333333333,150,150,runs/autoencoder_baseline/evaluation/metrics.json
ood_subtype,gaussian_noise,autoencoder_baseline,conv_autoencoder,,,sensory_artifact,gaussian_noise,0.8739555555555556,0.8621720399041729,0.5066666666666667,150,150,runs/autoencoder_baseline/evaluation/metrics.json
ood_subtype,jpeg_compression,autoencoder_baseline,conv_autoencoder,,,sensory_artifact,jpeg_compression,0.505688888888889,0.5137057370084033,0.96,150,150,runs/autoencoder_baseline/evaluation/metrics.json
ood_subtype,oct_screenshot,autoencoder_baseline,conv_autoencoder,,,modality_shift,oct_screenshot,0.9853777777777778,0.97783555638584,0.0266666666666666,150,150,runs/autoencoder_baseline/evaluation/metrics.json
ood_subtype,rectangle_annotation,autoencoder_baseline,conv_autoencoder,,,sensory_artifact,rectangle_annotation,1.0,1.0000000000000002,0.0,150,150,runs/autoencoder_baseline/evaluation/metrics.json
ood_subtype,text_watermark,autoencoder_baseline,conv_autoencoder,,,sensory_artifact,text_watermark,0.5294666666666666,0.5292201814878171,0.9066666666666666,150,150,runs/autoencoder_baseline/evaluation/metrics.json
