experiment,model,backbone,layers,auroc,auprc,fpr_at_95_tpr,threshold_at_95_tpr,threshold,threshold_source,id_false_rejection_rate,total_count,id_count,ood_count,warnings,metrics_file
patchcore_layer2,patchcore,resnet50,layer2,0.8279858585858586,0.9827546263887947,0.7866666666666666,24.648252487182617,32.97853279113769,validation_id_quantile,0.06,1800,150,1650,,runs/patchcore_layer2/evaluation/metrics.json
patchcore_layer3,patchcore,resnet50,layer3,0.8819333333333335,0.9880142869349209,0.6333333333333333,26.80457305908203,34.763293457031246,validation_id_quantile,0.06666666666666667,1800,150,1650,,runs/patchcore_layer3/evaluation/metrics.json
patchcore_layer2_layer3,patchcore,resnet50,layer2+layer3,0.8721737373737374,0.9874269752286322,0.6866666666666666,35.765132904052734,44.27885704040525,validation_id_quantile,0.07333333333333333,1800,150,1650,,runs/patchcore_layer2_layer3/evaluation/metrics.json
autoencoder_baseline,conv_autoencoder,,,0.7648848484848485,0.9763007249116953,0.9466666666666667,0.0001624995929887,0.0017387918487656857,validation_id_quantile,0.02666666666666667,1800,150,1650,,runs/autoencoder_baseline/evaluation/metrics.json
