experiment,model,backbone,layers,auroc,auprc,fpr_at_95_tpr,threshold_at_95_tpr,threshold,threshold_source,id_false_rejection_rate,id_count,ood_count
patchcore_layer2,patchcore,resnet50,layer2,0.8279858585858586,0.9827546263887948,0.7866666666666666,24.648252487182617,32.97853279113769,validation_id_quantile,0.06,150,1650
patchcore_layer3,patchcore,resnet50,layer3,0.8819333333333335,0.9880142869349208,0.6333333333333333,26.80457305908203,34.763293457031246,validation_id_quantile,0.0666666666666666,150,1650
patchcore_layer2_layer3,patchcore,resnet50,layer2+layer3,0.8721737373737374,0.9874269752286322,0.6866666666666666,35.765132904052734,44.27885704040525,validation_id_quantile,0.0733333333333333,150,1650
