metric,legacy row-level split,parent-grouped split,difference
selected family validation macro-F1,0.990774462414277,0.9924836011792534,0.001709138764976359
family test accuracy,0.988095238095238,1.0,0.011904761904761973
family test macro-F1,0.9900756867155014,1.0,0.00992431328449861
selected subtype validation macro-F1,0.8671040060661988,0.9058507271445498,0.03874672107835109
subtype test accuracy,0.923809523809524,0.9357142857142856,0.01190476190476164
subtype test macro-F1,0.9059435494826286,0.9175854801338392,0.011641930651210664
