unknown_threshold,coverage,known_accuracy,overall_accuracy_with_unknown_as_incorrect,unknown_rate,method,split
0.0,1.0,0.9166666666666666,0.9166666666666666,0.0,image_statistics_logreg,val
0.05,1.0,0.9166666666666666,0.9166666666666666,0.0,image_statistics_logreg,val
0.1,1.0,0.9166666666666666,0.9166666666666666,0.0,image_statistics_logreg,val
0.15000000000000002,1.0,0.9166666666666666,0.9166666666666666,0.0,image_statistics_logreg,val
0.2,1.0,0.9166666666666666,0.9166666666666666,0.0,image_statistics_logreg,val
0.25,1.0,0.9166666666666666,0.9166666666666666,0.0,image_statistics_logreg,val
0.30000000000000004,1.0,0.9166666666666666,0.9166666666666666,0.0,image_statistics_logreg,val
0.35000000000000003,1.0,0.9166666666666666,0.9166666666666666,0.0,image_statistics_logreg,val
0.4,1.0,0.9166666666666666,0.9166666666666666,0.0,image_statistics_logreg,val
0.45,1.0,0.9166666666666666,0.9166666666666666,0.0,image_statistics_logreg,val
0.5,1.0,0.9166666666666666,0.9166666666666666,0.0,image_statistics_logreg,val
0.55,0.9904761904761905,0.9206730769230769,0.9119047619047619,0.00952380952380949,image_statistics_logreg,val
0.6000000000000001,0.9785714285714285,0.9294403892944039,0.9095238095238095,0.021428571428571463,image_statistics_logreg,val
0.65,0.969047619047619,0.9361179361179361,0.9071428571428571,0.030952380952380953,image_statistics_logreg,val
0.7000000000000001,0.95,0.9423558897243107,0.8952380952380953,0.050000000000000044,image_statistics_logreg,val
0.75,0.9261904761904762,0.9562982005141388,0.8857142857142857,0.07380952380952377,image_statistics_logreg,val
0.8,0.9071428571428571,0.958005249343832,0.8690476190476191,0.09285714285714286,image_statistics_logreg,val
0.8500000000000001,0.8833333333333333,0.9595687331536388,0.8476190476190476,0.1166666666666667,image_statistics_logreg,val
0.9,0.8547619047619047,0.9637883008356546,0.8238095238095238,0.14523809523809528,image_statistics_logreg,val
0.9500000000000001,0.8023809523809524,0.9673590504451038,0.7761904761904762,0.19761904761904758,image_statistics_logreg,val
1.0,0.0,,0.0,1.0,image_statistics_logreg,val
0.0,1.0,0.9452380952380952,0.9452380952380952,0.0,global_feature_knn,val
0.05,1.0,0.9452380952380952,0.9452380952380952,0.0,global_feature_knn,val
0.1,1.0,0.9452380952380952,0.9452380952380952,0.0,global_feature_knn,val
0.15000000000000002,1.0,0.9452380952380952,0.9452380952380952,0.0,global_feature_knn,val
0.2,1.0,0.9452380952380952,0.9452380952380952,0.0,global_feature_knn,val
0.25,1.0,0.9452380952380952,0.9452380952380952,0.0,global_feature_knn,val
0.30000000000000004,1.0,0.9452380952380952,0.9452380952380952,0.0,global_feature_knn,val
0.35000000000000003,1.0,0.9452380952380952,0.9452380952380952,0.0,global_feature_knn,val
0.4,1.0,0.9452380952380952,0.9452380952380952,0.0,global_feature_knn,val
0.45,1.0,0.9452380952380952,0.9452380952380952,0.0,global_feature_knn,val
0.5,1.0,0.9452380952380952,0.9452380952380952,0.0,global_feature_knn,val
0.55,1.0,0.9452380952380952,0.9452380952380952,0.0,global_feature_knn,val
0.6000000000000001,0.9857142857142858,0.9541062801932367,0.9404761904761905,0.014285714285714235,global_feature_knn,val
0.65,0.9857142857142858,0.9541062801932367,0.9404761904761905,0.014285714285714235,global_feature_knn,val
0.7000000000000001,0.9857142857142858,0.9541062801932367,0.9404761904761905,0.014285714285714235,global_feature_knn,val
0.75,0.9857142857142858,0.9541062801932367,0.9404761904761905,0.014285714285714235,global_feature_knn,val
0.8,0.9857142857142858,0.9541062801932367,0.9404761904761905,0.014285714285714235,global_feature_knn,val
0.8500000000000001,0.9761904761904762,0.9609756097560975,0.9380952380952381,0.023809523809523836,global_feature_knn,val
0.9,0.9761904761904762,0.9609756097560975,0.9380952380952381,0.023809523809523836,global_feature_knn,val
0.9500000000000001,0.9761904761904762,0.9609756097560975,0.9380952380952381,0.023809523809523836,global_feature_knn,val
1.0,0.9761904761904762,0.9609756097560975,0.9380952380952381,0.023809523809523836,global_feature_knn,val
0.0,1.0,0.830952380952381,0.830952380952381,0.0,nearest_centroid,val
0.05,1.0,0.830952380952381,0.830952380952381,0.0,nearest_centroid,val
0.1,1.0,0.830952380952381,0.830952380952381,0.0,nearest_centroid,val
0.15000000000000002,1.0,0.830952380952381,0.830952380952381,0.0,nearest_centroid,val
0.2,1.0,0.830952380952381,0.830952380952381,0.0,nearest_centroid,val
0.25,1.0,0.830952380952381,0.830952380952381,0.0,nearest_centroid,val
0.30000000000000004,1.0,0.830952380952381,0.830952380952381,0.0,nearest_centroid,val
0.35000000000000003,1.0,0.830952380952381,0.830952380952381,0.0,nearest_centroid,val
0.4,1.0,0.830952380952381,0.830952380952381,0.0,nearest_centroid,val
0.45,0.9976190476190476,0.8305489260143198,0.8285714285714286,0.0023809523809523725,nearest_centroid,val
0.5,0.9952380952380953,0.8325358851674641,0.8285714285714286,0.004761904761904745,nearest_centroid,val
0.55,0.969047619047619,0.8329238329238329,0.8071428571428572,0.030952380952380953,nearest_centroid,val
0.6000000000000001,0.95,0.8421052631578947,0.8,0.050000000000000044,nearest_centroid,val
0.65,0.9214285714285714,0.8423772609819121,0.7761904761904762,0.07857142857142863,nearest_centroid,val
0.7000000000000001,0.9047619047619048,0.8421052631578947,0.7619047619047619,0.09523809523809523,nearest_centroid,val
0.75,0.8714285714285714,0.8387978142076503,0.7309523809523809,0.12857142857142856,nearest_centroid,val
0.8,0.8357142857142857,0.8547008547008547,0.7142857142857143,0.16428571428571426,nearest_centroid,val
0.8500000000000001,0.7976190476190477,0.8537313432835821,0.680952380952381,0.20238095238095233,nearest_centroid,val
0.9,0.7142857142857143,0.8766666666666667,0.6261904761904762,0.2857142857142857,nearest_centroid,val
0.9500000000000001,0.65,0.9010989010989011,0.5857142857142857,0.35,nearest_centroid,val
1.0,0.0,,0.0,1.0,nearest_centroid,val
0.0,1.0,0.9642857142857143,0.9642857142857143,0.0,logistic_regression,val
0.05,1.0,0.9642857142857143,0.9642857142857143,0.0,logistic_regression,val
0.1,1.0,0.9642857142857143,0.9642857142857143,0.0,logistic_regression,val
0.15000000000000002,1.0,0.9642857142857143,0.9642857142857143,0.0,logistic_regression,val
0.2,1.0,0.9642857142857143,0.9642857142857143,0.0,logistic_regression,val
0.25,1.0,0.9642857142857143,0.9642857142857143,0.0,logistic_regression,val
0.30000000000000004,1.0,0.9642857142857143,0.9642857142857143,0.0,logistic_regression,val
0.35000000000000003,1.0,0.9642857142857143,0.9642857142857143,0.0,logistic_regression,val
0.4,1.0,0.9642857142857143,0.9642857142857143,0.0,logistic_regression,val
0.45,1.0,0.9642857142857143,0.9642857142857143,0.0,logistic_regression,val
0.5,1.0,0.9642857142857143,0.9642857142857143,0.0,logistic_regression,val
0.55,0.9952380952380953,0.9665071770334929,0.9619047619047619,0.004761904761904745,logistic_regression,val
0.6000000000000001,0.9761904761904762,0.9804878048780488,0.9571428571428572,0.023809523809523836,logistic_regression,val
0.65,0.9714285714285714,0.9828431372549019,0.9547619047619048,0.02857142857142858,logistic_regression,val
0.7000000000000001,0.969047619047619,0.9852579852579852,0.9547619047619048,0.030952380952380953,logistic_regression,val
0.75,0.9619047619047619,0.9876237623762376,0.95,0.03809523809523807,logistic_regression,val
0.8,0.9571428571428572,0.9900497512437811,0.9476190476190476,0.042857142857142816,logistic_regression,val
0.8500000000000001,0.9476190476190476,0.992462311557789,0.9404761904761905,0.05238095238095242,logistic_regression,val
0.9,0.9357142857142857,0.9923664122137404,0.9285714285714286,0.06428571428571428,logistic_regression,val
0.9500000000000001,0.9142857142857143,0.9921875,0.9071428571428571,0.08571428571428574,logistic_regression,val
1.0,0.004761904761904762,1.0,0.004761904761904762,0.9952380952380953,logistic_regression,val
0.0,1.0,0.9857142857142858,0.9857142857142858,0.0,linear_svm,val
0.05,1.0,0.9857142857142858,0.9857142857142858,0.0,linear_svm,val
0.1,1.0,0.9857142857142858,0.9857142857142858,0.0,linear_svm,val
0.15000000000000002,1.0,0.9857142857142858,0.9857142857142858,0.0,linear_svm,val
0.2,1.0,0.9857142857142858,0.9857142857142858,0.0,linear_svm,val
0.25,1.0,0.9857142857142858,0.9857142857142858,0.0,linear_svm,val
0.30000000000000004,1.0,0.9857142857142858,0.9857142857142858,0.0,linear_svm,val
0.35000000000000003,1.0,0.9857142857142858,0.9857142857142858,0.0,linear_svm,val
0.4,1.0,0.9857142857142858,0.9857142857142858,0.0,linear_svm,val
0.45,0.9976190476190476,0.9856801909307876,0.9833333333333333,0.0023809523809523725,linear_svm,val
0.5,0.9976190476190476,0.9856801909307876,0.9833333333333333,0.0023809523809523725,linear_svm,val
0.55,0.9952380952380953,0.9856459330143541,0.9809523809523809,0.004761904761904745,linear_svm,val
0.6000000000000001,0.9880952380952381,0.9855421686746988,0.9738095238095238,0.011904761904761862,linear_svm,val
0.65,0.9761904761904762,0.9902439024390244,0.9666666666666667,0.023809523809523836,linear_svm,val
0.7000000000000001,0.9357142857142857,0.9923664122137404,0.9285714285714286,0.06428571428571428,linear_svm,val
0.75,0.9166666666666666,0.9922077922077922,0.9095238095238095,0.08333333333333337,linear_svm,val
0.8,0.8809523809523809,0.9918918918918919,0.8738095238095238,0.11904761904761907,linear_svm,val
0.8500000000000001,0.8357142857142857,0.9943019943019943,0.830952380952381,0.16428571428571426,linear_svm,val
0.9,0.7476190476190476,0.9968152866242038,0.7452380952380953,0.2523809523809524,linear_svm,val
0.9500000000000001,0.5380952380952381,0.995575221238938,0.5357142857142857,0.46190476190476193,linear_svm,val
1.0,0.0,,0.0,1.0,linear_svm,val
0.0,1.0,0.9857142857142858,0.9857142857142858,0.0,random_forest_or_gradient_boosting,val
0.05,1.0,0.9857142857142858,0.9857142857142858,0.0,random_forest_or_gradient_boosting,val
0.1,1.0,0.9857142857142858,0.9857142857142858,0.0,random_forest_or_gradient_boosting,val
0.15000000000000002,1.0,0.9857142857142858,0.9857142857142858,0.0,random_forest_or_gradient_boosting,val
0.2,1.0,0.9857142857142858,0.9857142857142858,0.0,random_forest_or_gradient_boosting,val
0.25,1.0,0.9857142857142858,0.9857142857142858,0.0,random_forest_or_gradient_boosting,val
0.30000000000000004,1.0,0.9857142857142858,0.9857142857142858,0.0,random_forest_or_gradient_boosting,val
0.35000000000000003,1.0,0.9857142857142858,0.9857142857142858,0.0,random_forest_or_gradient_boosting,val
0.4,1.0,0.9857142857142858,0.9857142857142858,0.0,random_forest_or_gradient_boosting,val
0.45,0.9976190476190476,0.9880668257756563,0.9857142857142858,0.0023809523809523725,random_forest_or_gradient_boosting,val
0.5,0.9809523809523809,1.0,0.9809523809523809,0.01904761904761909,random_forest_or_gradient_boosting,val
0.55,0.9738095238095238,1.0,0.9738095238095238,0.02619047619047621,random_forest_or_gradient_boosting,val
0.6000000000000001,0.9547619047619048,1.0,0.9547619047619048,0.04523809523809519,random_forest_or_gradient_boosting,val
0.65,0.9404761904761905,1.0,0.9404761904761905,0.059523809523809534,random_forest_or_gradient_boosting,val
0.7000000000000001,0.9214285714285714,1.0,0.9214285714285714,0.07857142857142863,random_forest_or_gradient_boosting,val
0.75,0.9119047619047619,1.0,0.9119047619047619,0.08809523809523812,random_forest_or_gradient_boosting,val
0.8,0.8928571428571429,1.0,0.8928571428571429,0.1071428571428571,random_forest_or_gradient_boosting,val
0.8500000000000001,0.8452380952380952,1.0,0.8452380952380952,0.15476190476190477,random_forest_or_gradient_boosting,val
0.9,0.8023809523809524,1.0,0.8023809523809524,0.19761904761904758,random_forest_or_gradient_boosting,val
0.9500000000000001,0.6928571428571428,1.0,0.6928571428571428,0.30714285714285716,random_forest_or_gradient_boosting,val
1.0,0.3738095238095238,1.0,0.3738095238095238,0.6261904761904762,random_forest_or_gradient_boosting,val
0.0,1.0,0.9928571428571429,0.9928571428571429,0.0,feature_statistics_fusion,val
0.05,1.0,0.9928571428571429,0.9928571428571429,0.0,feature_statistics_fusion,val
0.1,1.0,0.9928571428571429,0.9928571428571429,0.0,feature_statistics_fusion,val
0.15000000000000002,1.0,0.9928571428571429,0.9928571428571429,0.0,feature_statistics_fusion,val
0.2,1.0,0.9928571428571429,0.9928571428571429,0.0,feature_statistics_fusion,val
0.25,1.0,0.9928571428571429,0.9928571428571429,0.0,feature_statistics_fusion,val
0.30000000000000004,1.0,0.9928571428571429,0.9928571428571429,0.0,feature_statistics_fusion,val
0.35000000000000003,1.0,0.9928571428571429,0.9928571428571429,0.0,feature_statistics_fusion,val
0.4,1.0,0.9928571428571429,0.9928571428571429,0.0,feature_statistics_fusion,val
0.45,1.0,0.9928571428571429,0.9928571428571429,0.0,feature_statistics_fusion,val
0.5,1.0,0.9928571428571429,0.9928571428571429,0.0,feature_statistics_fusion,val
0.55,1.0,0.9928571428571429,0.9928571428571429,0.0,feature_statistics_fusion,val
0.6000000000000001,0.9952380952380953,0.992822966507177,0.9880952380952381,0.004761904761904745,feature_statistics_fusion,val
0.65,0.9952380952380953,0.992822966507177,0.9880952380952381,0.004761904761904745,feature_statistics_fusion,val
0.7000000000000001,0.9904761904761905,0.9951923076923077,0.9857142857142858,0.00952380952380949,feature_statistics_fusion,val
0.75,0.9809523809523809,0.9951456310679612,0.9761904761904762,0.01904761904761909,feature_statistics_fusion,val
0.8,0.9785714285714285,0.9951338199513382,0.9738095238095238,0.021428571428571463,feature_statistics_fusion,val
0.8500000000000001,0.9714285714285714,0.9950980392156863,0.9666666666666667,0.02857142857142858,feature_statistics_fusion,val
0.9,0.9619047619047619,0.9975247524752475,0.9595238095238096,0.03809523809523807,feature_statistics_fusion,val
0.9500000000000001,0.9476190476190476,0.9974874371859297,0.9452380952380952,0.05238095238095242,feature_statistics_fusion,val
1.0,0.002380952380952381,1.0,0.002380952380952381,0.9976190476190476,feature_statistics_fusion,val
0.0,1.0,0.9928571428571429,0.9928571428571429,0.0,hierarchical_classifier,val
0.05,1.0,0.9928571428571429,0.9928571428571429,0.0,hierarchical_classifier,val
0.1,1.0,0.9928571428571429,0.9928571428571429,0.0,hierarchical_classifier,val
0.15000000000000002,1.0,0.9928571428571429,0.9928571428571429,0.0,hierarchical_classifier,val
0.2,1.0,0.9928571428571429,0.9928571428571429,0.0,hierarchical_classifier,val
0.25,1.0,0.9928571428571429,0.9928571428571429,0.0,hierarchical_classifier,val
0.30000000000000004,1.0,0.9928571428571429,0.9928571428571429,0.0,hierarchical_classifier,val
0.35000000000000003,1.0,0.9928571428571429,0.9928571428571429,0.0,hierarchical_classifier,val
0.4,1.0,0.9928571428571429,0.9928571428571429,0.0,hierarchical_classifier,val
0.45,1.0,0.9928571428571429,0.9928571428571429,0.0,hierarchical_classifier,val
0.5,1.0,0.9928571428571429,0.9928571428571429,0.0,hierarchical_classifier,val
0.55,1.0,0.9928571428571429,0.9928571428571429,0.0,hierarchical_classifier,val
0.6000000000000001,0.9952380952380953,0.992822966507177,0.9880952380952381,0.004761904761904745,hierarchical_classifier,val
0.65,0.9952380952380953,0.992822966507177,0.9880952380952381,0.004761904761904745,hierarchical_classifier,val
