method,split,subtype,precision,recall,f1,support
hierarchical_classifier,val,colour_fundus,0.975609756097561,1.0,0.9876543209876543,40
hierarchical_classifier,val,oct_screenshot,1.0,1.0,1.0,40
hierarchical_classifier,val,text_watermark,0.8333333333333334,0.8333333333333334,0.8333333333333334,30
hierarchical_classifier,val,rectangle_annotation,0.7666666666666667,0.7666666666666667,0.7666666666666667,30
hierarchical_classifier,val,arrow_annotation,0.8333333333333334,0.8333333333333334,0.8333333333333334,30
hierarchical_classifier,val,composite_layout,1.0,0.9666666666666667,0.983050847457627,30
hierarchical_classifier,val,blur_artifact,0.7352941176470589,0.8333333333333334,0.78125,30
hierarchical_classifier,val,border_crop,1.0,1.0,1.0,30
hierarchical_classifier,val,gaussian_noise,0.9375,1.0,0.967741935483871,30
hierarchical_classifier,val,jpeg_compression,0.8846153846153846,0.7666666666666667,0.8214285714285715,30
hierarchical_classifier,val,cifar10_natural,1.0,0.98,0.98989898989899,100
image_statistics_logreg,test,colour_fundus,0.975,0.975,0.975,40
image_statistics_logreg,test,oct_screenshot,1.0,1.0,1.0,40
image_statistics_logreg,test,text_watermark,0.5625,0.6,0.5806451612903225,30
image_statistics_logreg,test,rectangle_annotation,0.8709677419354839,0.9,0.8852459016393444,30
image_statistics_logreg,test,arrow_annotation,0.9,0.9,0.9,30
image_statistics_logreg,test,composite_layout,1.0,1.0,1.0,30
image_statistics_logreg,test,blur_artifact,0.90625,0.9666666666666667,0.9354838709677419,30
image_statistics_logreg,test,border_crop,1.0,0.9666666666666667,0.983050847457627,30
image_statistics_logreg,test,gaussian_noise,0.9666666666666667,0.9666666666666667,0.9666666666666667,30
image_statistics_logreg,test,jpeg_compression,0.5555555555555556,0.5,0.5263157894736842,30
image_statistics_logreg,test,cifar10_natural,1.0,0.99,0.9949748743718593,100
global_feature_knn,test,colour_fundus,0.9523809523809523,1.0,0.975609756097561,40
global_feature_knn,test,oct_screenshot,1.0,1.0,1.0,40
global_feature_knn,test,text_watermark,0.3333333333333333,0.03333333333333333,0.0606060606060606,30
global_feature_knn,test,rectangle_annotation,0.3333333333333333,0.03333333333333333,0.0606060606060606,30
global_feature_knn,test,arrow_annotation,0.14285714285714285,0.03333333333333333,0.05405405405405406,30
global_feature_knn,test,composite_layout,1.0,1.0,1.0,30
global_feature_knn,test,blur_artifact,0.18461538461538463,0.8,0.3,30
global_feature_knn,test,border_crop,1.0,1.0,1.0,30
global_feature_knn,test,gaussian_noise,0.4411764705882353,0.5,0.46875,30
global_feature_knn,test,jpeg_compression,0.2,0.06666666666666667,0.1,30
global_feature_knn,test,cifar10_natural,1.0,0.91,0.9528795811518325,100
nearest_centroid,test,colour_fundus,0.49333333333333335,0.925,0.6434782608695652,40
nearest_centroid,test,oct_screenshot,1.0,0.975,0.9873417721518987,40
nearest_centroid,test,text_watermark,0.2,0.13333333333333333,0.16,30
nearest_centroid,test,rectangle_annotation,0.2,0.1,0.13333333333333333,30
nearest_centroid,test,arrow_annotation,0.19047619047619047,0.26666666666666666,0.2222222222222222,30
nearest_centroid,test,composite_layout,0.967741935483871,1.0,0.9836065573770492,30
nearest_centroid,test,blur_artifact,0.21739130434782608,0.16666666666666666,0.18867924528301885,30
nearest_centroid,test,border_crop,0.4057971014492754,0.9333333333333333,0.5656565656565656,30
nearest_centroid,test,gaussian_noise,0.21739130434782608,0.16666666666666666,0.18867924528301885,30
nearest_centroid,test,jpeg_compression,0.0,0.0,0.0,30
nearest_centroid,test,cifar10_natural,1.0,0.78,0.8764044943820225,100
logistic_regression,test,colour_fundus,1.0,1.0,1.0,40
logistic_regression,test,oct_screenshot,1.0,1.0,1.0,40
logistic_regression,test,text_watermark,0.3076923076923077,0.4,0.34782608695652173,30
logistic_regression,test,rectangle_annotation,0.4166666666666667,0.3333333333333333,0.3703703703703704,30
logistic_regression,test,arrow_annotation,0.3157894736842105,0.2,0.24489795918367346,30
logistic_regression,test,composite_layout,1.0,1.0,1.0,30
logistic_regression,test,blur_artifact,0.325,0.43333333333333335,0.37142857142857144,30
logistic_regression,test,border_crop,1.0,1.0,1.0,30
logistic_regression,test,gaussian_noise,0.8823529411764706,1.0,0.9375,30
logistic_regression,test,jpeg_compression,0.4,0.3333333333333333,0.3636363636363636,30
logistic_regression,test,cifar10_natural,1.0,0.99,0.9949748743718593,100
linear_svm,test,colour_fundus,1.0,1.0,1.0,40
linear_svm,test,oct_screenshot,0.975609756097561,1.0,0.9876543209876543,40
linear_svm,test,text_watermark,0.2857142857142857,0.4,0.3333333333333333,30
linear_svm,test,rectangle_annotation,0.46153846153846156,0.2,0.27906976744186046,30
linear_svm,test,arrow_annotation,0.35,0.23333333333333334,0.28,30
linear_svm,test,composite_layout,0.9666666666666667,0.9666666666666667,0.9666666666666667,30
linear_svm,test,blur_artifact,0.27906976744186046,0.4,0.32876712328767127,30
linear_svm,test,border_crop,0.8333333333333334,1.0,0.9090909090909091,30
linear_svm,test,gaussian_noise,0.45,0.6,0.5142857142857143,30
linear_svm,test,jpeg_compression,0.21739130434782608,0.16666666666666666,0.18867924528301885,30
linear_svm,test,cifar10_natural,1.0,0.92,0.9583333333333334,100
random_forest_or_gradient_boosting,test,colour_fundus,0.975609756097561,1.0,0.9876543209876543,40
random_forest_or_gradient_boosting,test,oct_screenshot,1.0,0.975,0.9873417721518987,40
random_forest_or_gradient_boosting,test,text_watermark,0.8,0.13333333333333333,0.2285714285714286,30
random_forest_or_gradient_boosting,test,rectangle_annotation,0.44680851063829785,0.7,0.5454545454545453,30
random_forest_or_gradient_boosting,test,arrow_annotation,0.4782608695652174,0.36666666666666664,0.41509433962264153,30
random_forest_or_gradient_boosting,test,composite_layout,1.0,1.0,1.0,30
random_forest_or_gradient_boosting,test,blur_artifact,0.3888888888888889,0.4666666666666667,0.42424242424242425,30
random_forest_or_gradient_boosting,test,border_crop,1.0,1.0,1.0,30
random_forest_or_gradient_boosting,test,gaussian_noise,1.0,1.0,1.0,30
random_forest_or_gradient_boosting,test,jpeg_compression,0.7894736842105263,1.0,0.8823529411764706,30
random_forest_or_gradient_boosting,test,cifar10_natural,0.9900990099009901,1.0,0.9950248756218906,100
feature_statistics_fusion,test,colour_fundus,1.0,0.975,0.9873417721518987,40
feature_statistics_fusion,test,oct_screenshot,1.0,1.0,1.0,40
feature_statistics_fusion,test,text_watermark,0.5909090909090909,0.8666666666666667,0.7027027027027029,30
feature_statistics_fusion,test,rectangle_annotation,0.75,0.8,0.7741935483870969,30
feature_statistics_fusion,test,arrow_annotation,0.782608695652174,0.6,0.6792452830188679,30
feature_statistics_fusion,test,composite_layout,1.0,1.0,1.0,30
feature_statistics_fusion,test,blur_artifact,0.8787878787878788,0.9666666666666667,0.9206349206349207,30
feature_statistics_fusion,test,border_crop,1.0,1.0,1.0,30
feature_statistics_fusion,test,gaussian_noise,0.967741935483871,1.0,0.9836065573770492,30
feature_statistics_fusion,test,jpeg_compression,0.7894736842105263,0.5,0.6122448979591837,30
feature_statistics_fusion,test,cifar10_natural,1.0,0.99,0.9949748743718593,100
hierarchical_classifier,test,colour_fundus,1.0,1.0,1.0,40
hierarchical_classifier,test,oct_screenshot,1.0,1.0,1.0,40
hierarchical_classifier,test,text_watermark,0.75,0.8,0.7741935483870969,30
hierarchical_classifier,test,rectangle_annotation,0.8518518518518519,0.7666666666666667,0.8070175438596491,30
hierarchical_classifier,test,arrow_annotation,0.88,0.7333333333333333,0.8,30
hierarchical_classifier,test,composite_layout,1.0,1.0,1.0,30
hierarchical_classifier,test,blur_artifact,0.875,0.9333333333333333,0.9032258064516129,30
hierarchical_classifier,test,border_crop,1.0,1.0,1.0,30
hierarchical_classifier,test,gaussian_noise,0.967741935483871,1.0,0.9836065573770492,30
hierarchical_classifier,test,jpeg_compression,0.7878787878787878,0.8666666666666667,0.8253968253968254,30
hierarchical_classifier,test,cifar10_natural,1.0,1.0,1.0,100
